 99269 0.0 4.996813646976026
the 13909 0.3010299956639812 4.143295907124072
of 10323 0.47712125471966244 4.013805927340592
and 5713 0.6020599913279624 3.756864224060549
in 5017 0.6989700043360189 3.7004441010277516
to 4730 0.7781512503836436 3.6748611407378116
a 3240 0.8450980400142568 3.510545010206612
that 2614 0.9030899869919435 3.4173055832445254
have 2090 0.9542425094393249 3.3201462861110542
be 2085 1.0 3.3191060593097763
as 2072 1.0413926851582251 3.3163897510731952
is 1954 1.0791812460476249 3.2909245593827543
by 1803 1.1139433523068367 3.255995726722402
which 1715 1.146128035678238 3.2342641243787895
or 1657 1.1760912590556813 3.219322508419337
are 1629 1.2041199826559248 3.2119210843085093
on 1566 1.2304489213782739 3.1947917577219247
with 1390 1.255272505103306 3.143014800254095
from 1379 1.2787536009528289 3.13956426617585
for 1373 1.3010299956639813 3.137670537236755
been 1232 1.3222192947339193 3.090610707828407
it 1178 1.3424226808222062 3.0711452904510828
this 1156 1.3617278360175928 3.0629578340845103
species 1144 1.380211241711606 3.058426024457005
not 1126 1.3979400086720377 3.0515383905153275
we 1066 1.414973347970818 3.0277572046905536
same 1025 1.4313637641589874 3.010723865391773
their 979 1.4471580313422192 2.9907826918031377
I 929 1.462397997898956 2.968015713993642
at 825 1.4771212547196624 2.916453948549925
has 815 1.4913616938342726 2.9111576087399764
other 790 1.505149978319906 2.8976270912904414
but 777 1.5185139398778875 2.890421018800914
some 754 1.5314789170422551 2.877371345869774
they 746 1.5440680443502757 2.8727388274726686
will 743 1.5563025007672873 2.8709888137605755
one 731 1.568201724066995 2.8639173769578603
an 723 1.5797835966168101 2.859138297294531
more 723 1.591064607026499 2.859138297294531
all 700 1.6020599913279623 2.845098040014257
would 685 1.6127838567197355 2.8356905714924254
may 659 1.6232492903979006 2.8188854145940097
each 636 1.6334684555795864 2.803457115648414
so 605 1.6434526764861874 2.781755374652469
any 605 1.6532125137753437 2.781755374652469
many 581 1.662757831681574 2.7641761323903307
The 581 1.6720978579357175 2.7641761323903307
can 577 1.6812412373755872 2.7611758131557314
these 545 1.6901960800285136 2.7363965022766426
its 520 1.6989700043360187 2.716003343634799
natural 456 1.7075701760979363 2.658964842664435
than 455 1.7160033436347992 2.6580113966571126
two 449 1.724275869600789 2.6522463410033232
when 437 1.7323937598229686 2.640481436970422
most 436 1.7403626894942439 2.639486489268586
if 407 1.7481880270062005 2.60959440922522
no 398 1.7558748556724915 2.5998830720736876
between 393 1.7634279935629373 2.5943925503754266
species, 386 1.7708520116421442 2.586587304671755
In 381 1.7781512503836436 2.5809249756756194
very 373 1.7853298350107671 2.571708831808688
forms 360 1.792391689498254 2.5563025007672873
several 347 1.7993405494535817 2.5403294747908736
only 339 1.806179973983887 2.530199698203082
such 338 1.8129133566428555 2.5289167002776547
different 338 1.8195439355418688 2.5289167002776547
distinct 333 1.8260748027008264 2.5224442335063197
great 327 1.8325089127062364 2.514547752660286
our 324 1.8388490907372552 2.510545010206612
those 316 1.845098040014257 2.499687082618404
But 315 1.8512583487190752 2.4983105537896004
thus 309 1.8573324964312685 2.4899584794248346
under 307 1.863322860120456 2.4871383754771865
being 305 1.8692317197309762 2.484299839346786
much 300 1.8750612633917 2.4771212547196626
there 300 1.8808135922807914 2.4771212547196626
It 299 1.8864907251724818 2.4756711883244296
having 299 1.8920946026904804 2.4756711883244296
plants 298 1.8976270912904414 2.4742162640762553
first 296 1.9030899869919435 2.4712917110589387
varieties 290 1.9084850188786497 2.462397997898956
were 289 1.9138138523837167 2.4608978427565478
had 285 1.919078092376074 2.45484486000851
into 285 1.9242792860618816 2.45484486000851
certain 271 1.9294189257142926 2.432969290874406
do 270 1.9344984512435677 2.4313637641589874
must 267 1.9395192526186185 2.4265112613645754
see 266 1.9444826721501687 2.424881636631067
selection 265 1.9493900066449128 2.423245873936808
how 264 1.954242509439325 2.4216039268698313
could 264 1.9590413923210936 2.4216039268698313
through 263 1.9637878273455553 2.419955748489758
long 262 1.968482948553935 2.4183012913197452
during 262 1.9731278535996986 2.4183012913197452
We 260 1.9777236052888478 2.4149733479708178
animals 258 1.9822712330395684 2.41161970596323
often 256 1.9867717342662448 2.4082399653118496
should 247 1.9912260756924949 2.392696953259666
was 246 1.99563519459755 2.3909351071033793
even 245 2.0 2.3891660843645326
case 242 2.0043213737826426 2.383815365980431
new 239 2.0086001717619175 2.3783979009481375
now 238 2.012837224705172 2.376576957056512
number 234 2.0170333392987803 2.369215857410143
less 233 2.0211892990699383 2.367355921026019
become 231 2.0253058652647704 2.3636119798921444
generally 231 2.0293837776852097 2.3636119798921444
though 224 2.03342375548695 2.3502480183341627
common 221 2.037426497940624 2.3443922736851106
Mr. 221 2.041392685158225 2.3443922736851106
cases 219 2.0453229787866576 2.3404441148401185
far 216 2.0492180226701815 2.3344537511509307
he 215 2.0530784434834195 2.3324384599156054
almost 210 2.0569048513364727 2.322219294733919
few 207 2.060697840353612 2.315970345456918
might 206 2.0644579892269186 2.3138672203691533
part 203 2.0681858617461617 2.307496037913213
parts 199 2.0718820073061255 2.298853076409707
conditions 197 2.0755469613925306 2.294466226161593
large 192 2.0791812460476247 2.2833012287035497
—on 189 2.0827853703164503 2.2764618041732443
species. 188 2.0863598306747484 2.27415784926368
structure 186 2.089905111439398 2.2695129442179165
what 181 2.093421685162235 2.2576785748691846
yet 178 2.0969100130080562 2.250420002308894
intermediate 174 2.100370545117563 2.2405492482826
whole 173 2.103803720955957 2.2380461031287955
closely 173 2.1072099696478683 2.2380461031287955
present 171 2.110589710299249 2.2329961103921536
another 165 2.113943352306837 2.2174839442139063
organic 165 2.1172712956557644 2.2174839442139063
then 164 2.12057393120585 2.214843848047698
nearly 160 2.123851640967086 2.2041199826559246
well 159 2.1271047983648077 2.2013971243204513
modified 158 2.130333768495006 2.1986570869544226
found 157 2.1335389083702174 2.1958996524092336
both 157 2.1367205671564067 2.1958996524092336
instance, 156 2.1398790864012365 2.1931245983544616
individuals 155 2.143014800254095 2.1903316981702914
This 155 2.146128035678238 2.1903316981702914
still 155 2.1492191126553797 2.1903316981702914
nature 153 2.1522883443830563 2.184691430817599
time 153 2.155336037465062 2.184691430817599
cannot 152 2.1583624920952498 2.1818435879447726
like 151 2.161368002234975 2.1789769472931693
degree 150 2.164352855784437 2.1760912590556813
within 150 2.167317334748176 2.1760912590556813
his 148 2.1702617153949575 2.1702617153949575
produced 146 2.173186268412274 2.164352855784437
life 143 2.1760912590556813 2.155336037465062
little 143 2.1789769472931693 2.155336037465062
given 143 2.1818435879447726 2.155336037465062
important 142 2.184691430817599 2.1522883443830563
every 142 2.187520720836463 2.1522883443830563
